Solute SMILES,LogS
COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)CCl)c2)n1,6.024108864
O=C(OC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1)C5=CC=C(C(F)(F)F)C=C5,6.93930216
COc1cc(N(C)CCN(C)C)ccc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,6.660946264
Fc1ccc(-c2nc(-c3ccccc3)[nH]c2-c2ccnc3[nH]c(-c4ccccc4)cc23)cc1,5.844663963
CN1CCN(c2nc(Nc3ccc(F)cc3)nc3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cn4)cc23)CC1,7.458420756
CP(C)(C1=C(NC2=NC(NC3=CC(CC)=C(N4CCC(N5CC(COC)C5)CC4)C=C3OC)=NC=C2Br)C=CC6=NC=NN16)=O,9.075720714
N#Cc1ccc(O)c(-c2nc(NCc3cnccn3)c3ccccc3n2)c1,7.412289035
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5)=C2C5=O)=C1)=O,5.685922008
CC1=CC(NC2=NCC3C(N(C4CCN(C(CC)=O)CC4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,7.175874166
CN(C)CCOc1ccc(Nc2ncc3nc(Sc4cccc(F)c4)n(C4CCOCC4)c3n2)cc1,6.09420412
CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3ccccc3)c2)[nH]c2ccccc21,6.573488739
CP(C)(C1=CC=CC=C1NC2=NC(NC3=CC(Cl)=C(N4CCC(N5CCN(C)CC5)CC4)C=C3Cl)=NC=C2Cl)=O,9.15490196
CN(CC1)CCN1C2=CC=C(NC3=NCC4C(N([C@H]5CC[C@@H](NC(CC)=O)CC5)C(N(C6=C(Cl)C=CC=C6)C4CC)=O)=N3)C=C2C,7.642065153
CP(C)(C1=C2N=CC=NC2=CC=C1NC3=NC(NC4=CC(C)=C(C=C4OC)N5CCC(CC5)N6CC(N(C)C)C6)=NC=C3Br)=O,10.04575749
CCC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(CCCO)nc3-c3ccc(F)cc3)ccn2)c1,8.15490196
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,8.602059991
COc1cc2ncnc(Nc3ccc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)cc3F)c2cc1OCCCN1CCOCC1,7.010995384
COc1cc2c(Nc3ccc(NC(=O)C(c4ccccc4)C(C)C)cc3F)ncnc2cc1OCC1CCN(C)CC1,5.496754229
CN1CCN(c2ccc(Nc3cc4c(N[C@H]5CCCN(C)C5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,6.234927799
CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccc(F)cc34)n2)c(OC)cc1F,6.478600372
COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(C)=O)c2)n1,5.956637722
OCCCC1=NC(C2=CC=C(F)C=C2)=C(C3=C4C(NC(C5=CC=CC=C5)=C4)=NC=C3)N1,7.677780705
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc4ccccc34)c3c(N)ncnc32)C1,5.102372909
CC1=CC(NC2=NCC3C(N(C4CN(C(CC)=O)C4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,6.22475374
CN1CCN(c2ccc(Nc3cc4c(N5CCCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,7.638272164
