SMILES,pIC50,mol,num_atoms,logP
CCCCCCCCCCCCCCc1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a312dcb0>,20,6.930200000000007
CCC(=O)OC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a311a9d0>,28,1.4393999999999998
NC(Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a3144580>,31,-0.3990999999999965
O=[N+]([O-])c1ccc(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a328de70>,32,-3.4022999999999985
CC(C)CCCNc1[nH]cnc2ncnc1-2,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3100190>,16,2.1526
NC1=NCC(COc2ccccc2)O1,0.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a3271af0>,14,0.7788999999999997
CC(C)(C)[N+]([O-])=Cc1ccc(Cl)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a31051c0>,14,3.067700000000001
COc1cccc(N=C=S)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29d4f20>,11,2.429500000000001
CCCN(C=Nc1ccn(C2CCC(CO)O2)c(=O)n1)CCC,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a32e9f50>,23,1.695
CCCc1ncc([N+](=O)[O-])n1CCNC(=S)OC,0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a31110e0>,18,1.2647
C1=CC2C=CC1C2,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a298c580>,7,1.7485
NC(=O)CCc1ccncc1,0.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a32b2b90>,11,0.4994999999999999
CC(=O)NC(C(=O)NC(C)C(N)=O)C(C)C,,<rdkit.Chem.rdchem.Mol object at 0x7f59a32e3a00>,16,-0.8628999999999996
CC(C)(C)c1ccccc1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a2977b50>,11,2.689700000000001
c1ccc(-c2ccncc2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29b8c80>,12,2.7486000000000006
O=C(CN1CCCCC1)Nc1cccc(F)c1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a32986d0>,17,2.2501000000000007
O=C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32c9770>,25,4.035500000000003
C#CCCCC,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a29b1d20>,6,1.8098
Cc1cnc(C(N)=O)cn1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a3240ac0>,10,-0.1160799999999998
CC1(C)C(O)CCC1Nc1c(C(N)=O)cnn2cccc12,7.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a294d770>,21,1.3945999999999994
CCOc1ncnc2c1ncn2C1OC(CO)CC1F,0.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a311d700>,20,0.8429
CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32b0660>,27,5.657300000000008
CC(=O)Nc1ncc([N+](=O)[O-])s1,0.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a29913f0>,12,1.0096999999999998
Cc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3240f20>,19,2.78452
